Localização,Latitude {N+/S-},Longitude {E+/W-},Zona Horaria {+/- GMT},Elevação {m},,,,,,,,,,,,,,
Vitoria,-20.27,-40.28,-3,5,,,,,,,,,,,,,,

Mês,Dia,Hora,TBS {C},TBU {C},T. Pto Orvalho {C},Pressao Atmosferica {kPa},Umidade {kg/kg},U. R. {%},Densidade do ar {kg/m3},Entalpia {BTU/LB},Velocidade do Vento {m/s},Direção do Vento {graus},Cobertura Total de Nuvens {decimas},Rad Horizontal Extraterreste {Wh/m2},Rad Global Horizontal {Wh/m2},Rad Direta {Wh/m2},Rad Direta Normal {Wh/m2},Rad Difusa Horizontal {Wh/m2}
1,5,1,21.5,19.7,18.6,101.4,0.013642195,85,1.173347892,56.1,3,260,10,0,0,0,0,0
1,5,2,21.3,20.2,19.4,101.4,0.014397304,91,1.172751632,57.9,3,310,9,0,0,0,0,0
1,5,3,21.3,20.0,19.1,101.3,0.014141759,89,1.172065738,57.2,3,320,8,0,0,0,0,0
1,5,4,21.3,19.6,18.5,101.3,0.013607347,86,1.173051249,55.9,3,310,9,0,0,0,0,0
1,5,5,21.3,19.6,18.5,101.2,0.013621803,86,1.171866599,55.9,2,270,8,0,0,0,0,0
1,5,6,21.2,19.5,18.4,101.2,0.013531162,86,1.172431919,55.6,2,310,8,13,6,1,3,5
1,5,7,21.2,19.5,18.4,101.3,0.0135168,86,1.173616971,55.5,3,300,10,249,128,48,115,81
1,5,8,23.3,21.4,20.3,101.3,0.015245073,85,1.162142695,62.1,1,320,9,559,240,50,91,190
1,5,9,26.0,22.8,21.2,101.4,0.016147064,76,1.151161068,67.1,2,180,10,843,434,162,229,273
1,5,10,27.9,23.9,22.0,101.4,0.017043135,72,1.142291749,71.4,3,180,9,1083,466,97,114,369
1,5,11,28.2,24.3,22.5,101.4,0.017552309,73,1.140246009,73.0,4,160,10,1261,542,113,119,430
1,5,12,26.8,23.9,22.5,101.4,0.017506053,79,1.145650907,71.4,5,160,10,1366,588,122,122,466
1,5,13,27.6,24.2,22.6,101.4,0.017645089,76,1.142355083,72.6,5,100,10,1391,716,267,270,450
1,5,14,27.6,23.5,21.6,101.3,0.016562956,71,1.143162568,69.8,7,150,9,1334,687,256,278,431
1,5,15,27.0,23.5,21.8,101.2,0.016833592,75,1.143832199,69.9,5,150,9,1198,515,107,133,408
1,5,16,25.9,23.4,22.1,101.2,0.017141233,81,1.147486953,69.6,4,150,10,994,427,89,136,339
1,5,17,25.4,24.0,23.2,101.2,0.018292969,89,1.147341102,72.0,4,140,10,734,316,66,132,250
1,5,18,25.3,24.0,23.2,101.1,0.018354427,90,1.14648137,72.0,4,150,10,437,188,39,99,149
1,5,19,24.1,23.6,23.1,101.1,0.018230019,96,1.151333414,70.5,3,150,10,125,54,11,27,43
1,5,20,24.9,23.5,22.6,101.2,0.017717654,89,1.150299465,70.0,3,170,10,0,0,0,0,0
1,5,21,24.9,23.4,22.5,101.2,0.01756237,88,1.150578768,69.6,0,0,10,0,0,0,0,0
1,5,22,24.9,23.5,22.6,101.3,0.017699068,89,1.15146958,70.0,0,0,10,0,0,0,0,0
1,5,23,24.4,23.5,22.8,101.3,0.017909956,93,1.153024364,70.0,0,0,10,0,0,0,0,0
1,5,24,23.8,23.5,23.1,101.3,0.018163227,98,1.154896977,70.0,0,0,10,0,0,0,0,0
1,6,1,23.4,22.3,21.5,101.3,0.016510055,91,1.159449092,65.4,3,140,10,0,0,0,0,0
1,6,2,23.2,22.3,21.6,101.3,0.016594136,93,1.160078807,65.4,4,130,10,0,0,0,0,0
1,6,3,23.1,23.0,22.6,101.2,0.017706134,99,1.157309468,68.1,0,0,10,0,0,0,0,0
1,6,4,23.1,23.0,22.6,101.1,0.017724189,99,1.156133249,68.2,4,300,10,0,0,0,0,0
1,6,5,22.9,22.9,22.6,101.1,0.017656094,100,1.157037454,67.8,3,300,10,0,0,0,0,0
1,6,6,22.4,22.4,22.1,101.1,0.017113916,100,1.159978142,65.9,3,290,10,12,6,2,6,4
1,6,7,23.1,22.8,22.4,101.1,0.017419963,98,1.156683346,67.4,0,0,9,246,145,78,188,67
1,6,8,23.8,23.4,22.9,101.2,0.018026339,97,1.154003678,69.7,0,0,8,556,239,50,91,190
1,6,9,25.5,24.2,23.4,101.3,0.018550473,90,1.147628722,72.7,0,0,10,841,362,75,106,287
1,6,10,26.6,24.8,23.8,101.3,0.01905824,87,1.142511521,75.2,0,0,10,1081,465,97,114,368
1,6,11,29.4,27.0,25.9,101.2,0.021678,83,1.126217892,84.8,0,0,10,1260,649,242,255,407
1,6,12,28.3,26.0,24.9,101.2,0.020380082,83,1.132611416,80.3,3,150,9,1366,587,122,122,465
1,6,13,28.2,26.0,24.9,101.1,0.020444336,84,1.1317545,80.4,5,140,10,1391,598,124,126,474
1,6,14,28.4,26.3,25.3,101.1,0.020881636,85,1.130234507,81.7,6,90,10,1335,574,119,129,455
1,6,15,27.3,25.4,24.4,101.0,0.019822389,86,1.135120844,77.9,5,80,10,1199,516,107,133,409
1,6,16,27.0,24.9,23.8,101.0,0.01911456,84,1.137509954,75.7,5,90,10,995,428,89,136,339
1,6,17,26.2,24.4,23.4,100.9,0.018655196,86,1.140237675,73.7,6,80,10,736,316,66,132,251
1,6,18,26.8,24.9,23.9,101.0,0.019199177,86,1.1381182,75.7,7,70,10,439,189,39,100,150
1,6,19,26.2,24.1,23.0,101.0,0.01815318,84,1.14226286,72.5,6,60,10,126,54,11,27,43
1,6,20,25.6,24.5,23.8,101.1,0.019031403,91,1.144120478,74.1,9,60,10,0,0,0,0,0
1,6,21,25.4,24.4,23.7,101.1,0.018953873,92,1.145025422,73.7,5,30,10,0,0,0,0,0
1,6,22,25.0,24.5,24.0,101.2,0.019265519,96,1.147137892,74.1,3,20,10,0,0,0,0,0
1,6,23,24.4,24.0,23.5,101.3,0.018696342,97,1.151609079,72.0,3,20,10,0,0,0,0,0
1,6,24,24.1,23.6,23.1,101.3,0.018192546,96,1.153678555,70.4,3,360,8,0,0,0,0,0
1,7,1,24.2,23.7,23.2,101.4,0.018288155,96,1.154256668,70.7,0,0,10,0,0,0,0,0
1,7,2,24.0,23.6,23.1,101.3,0.01823478,97,1.15399067,70.4,3,30,3,0,0,0,0,0
1,7,3,23.4,23.0,22.5,101.3,0.0175616,97,1.15754267,68.1,3,60,5,0,0,0,0,0
1,7,4,23.4,23.0,22.5,101.2,0.017579615,97,1.156367409,68.1,3,30,0,0,0,0,0,0
1,7,5,23.4,23.0,22.5,101.1,0.017597666,97,1.155192148,68.2,0,0,0,0,0,0,0,0
1,7,6,23.2,22.8,22.3,101.1,0.017377819,97,1.156369256,67.4,3,30,3,11,7,4,9,3
1,7,7,24.0,23.5,23.0,101.2,0.018097377,96,1.153098972,70.0,4,30,8,243,125,47,113,79
