Localização,Latitude {N+/S-},Longitude {E+/W-},Zona Horaria {+/- GMT},Elevação {m},,,,,,,,,,,,,,
Maceio,-9.52,-35.78,-3,115,,,,,,,,,,,,,,

Mês,Dia,Hora,TBS {C},TBU {C},T. Pto Orvalho {C},Pressao Atmosferica {kPa},Umidade {kg/kg},U. R. {%},Densidade do ar {kg/m3},Entalpia {BTU/LB},Velocidade do Vento {m/s},Direção do Vento {graus},Cobertura Total de Nuvens {decimas},Rad Horizontal Extraterreste {Wh/m2},Rad Global Horizontal {Wh/m2},Rad Direta {Wh/m2},Rad Direta Normal {Wh/m2},Rad Difusa Horizontal {Wh/m2}
1,6,2,22.7,21.5,20.7,99.9,0.015871331,90,1.147278254,63.04450184,0,0,0,0,0,0,0,0
1,6,3,22.5,21.3,20.5,99.8,0.015683607,90,1.147242804,62.3616506,0,0,0,0,0,0,0,0
1,6,4,22.1,21.1,20.4,99.8,0.015565195,92,1.149010441,61.64945643,0,0,0,0,0,0,0,0
1,6,5,21.8,21.0,20.3,99.7,0.015565071,93,1.149026865,61.34071149,0,0,0,0,0,0,0,0
1,6,6,20.5,20.0,19.5,99.8,0.014701968,96,1.156837383,57.81363145,0,0,4,0,0,0,0,0
1,6,7,22.7,21.6,20.8,99.9,0.016016338,91,1.14701749,63.41310623,0,0,4,153,105,78,188,27
1,6,8,24.3,22.0,20.7,100.0,0.015913361,82,1.142173968,64.79729852,2,50,4,478,330,244,387,86
1,6,9,26.9,22.9,21.0,100.0,0.016173152,71,1.131815819,68.13433165,4,80,5,778,509,345,173,165
1,6,10,27.0,23.0,21.1,100.0,0.016284225,72,1.131241835,68.52045843,5,80,8,1030,505,162,538,343
1,6,11,29.2,23.3,20.6,100.0,0.015824461,61,1.123820082,69.61102026,5,90,5,1218,798,540,569,258
1,6,12,30.0,23.9,21.2,99.9,0.016449994,61,1.11863638,72.03220124,6,90,5,1330,871,589,681,282
1,6,13,30.5,24.1,21.3,99.9,0.016559518,59,1.116602836,72.82699833,7,90,4,1356,936,692,764,243
1,6,14,30.5,23.0,19.6,99.8,0.014856352,53,1.118468445,68.47361687,6,90,3,1297,927,721,783,206
1,6,15,30.0,23.0,19.8,99.8,0.015065151,56,1.119945988,68.49371953,5,90,3,1154,825,642,846,183
1,6,16,29.0,23.5,21.0,99.7,0.016276707,63,1.120395821,70.56004843,9,100,1,940,691,554,836,136
1,6,17,29.0,23.5,21.0,99.7,0.016276707,63,1.120395821,70.56004843,6,110,0,667,487,388,781,99
1,6,18,27.5,22.5,20.1,99.7,0.015370106,65,1.127587383,66.70356764,6,120,0,355,259,206,436,53
1,6,19,26.5,22.5,20.6,99.7,0.015788798,71,1.130607656,66.74300221,5,120,0,55,40,32,77,8
1,6,20,25.2,22.2,20.7,99.8,0.015866998,77,1.136533644,65.60508891,5,100,0,0,0,0,0,0
1,6,21,23.9,22.0,20.9,99.8,0.016115873,85,1.141062305,64.9010301,2,90,0,0,0,0,0,0
1,6,22,23.4,21.6,20.5,99.9,0.015722702,86,1.144836898,63.38655634,0,0,0,0,0,0,0,0
1,6,23,23.0,21.4,20.4,100.0,0.015584484,87,1.1477795,62.62378375,0,0,0,0,0,0,0,0
1,6,24,22.5,21.3,20.5,100.0,0.015650421,90,1.149601718,62.27730488,0,0,0,0,0,0,0,0
1,7,1,22.1,21.1,20.4,99.9,0.015548796,92,1.150191341,61.60778733,0,0,0,0,0,0,0,0
