Localização,Latitude {N+/S-},Longitude {E+/W-},Zona Horaria {+/- GMT},Elevação {m},,,,,,,,,,,,,,
Florianopolis,-27.67,-48.55,-3,7,,,,,,,,,,,,,,

Mês,Dia,Hora,TBS {C},TBU {C},T. Pto Orvalho {C},Pressao Atmosferica {kPa},Umidade {kg/kg},U. R. {%},Densidade do ar {kg/m3},Entalpia {BTU/LB},Velocidade do Vento {m/s},Direção do Vento {graus},Cobertura Total de Nuvens {decimas},Rad Horizontal Extraterreste {Wh/m2},Rad Global Horizontal {Wh/m2},Rad Direta {Wh/m2},Rad Direta Normal {Wh/m2},Rad Difusa Horizontal {Wh/m2}
1,5,1,25.5,24.0,23.1,101.1,0.018269971,88,1.146,72.0,3,30,10,0,0,0,0,0
1,5,2,25.0,23.5,22.6,101.1,0.017694116,88,1.149,70.1,4,30,10,0,0,0,0,0
1,5,3,25.0,24.0,23.3,101.0,0.018500429,92,1.146,72.1,3,40,9,0,0,0,0,0
1,5,4,24.5,23.5,22.8,100.8,0.017961103,92,1.147,70.2,5,50,9,0,0,0,0,0
1,5,5,24.5,23.5,22.8,100.8,0.017961103,92,1.147,70.2,4,50,8,0,0,0,0,0
1,5,6,24.0,23.0,22.3,100.8,0.017399138,92,1.150,68.3,4,30,10,40,14,2,42,13
1,5,7,25.0,24.0,23.3,100.9,0.01851974,92,1.145,72.2,6,30,6,305,195,126,302,69
1,5,8,26.0,24.0,22.9,100.9,0.018097496,85,1.142,72.1,7,30,6,599,383,248,452,136
1,5,9,26.3,24.3,23.2,100.9,0.018451398,85,1.140,73.3,10,30,6,869,556,359,694,197
1,5,10,27.8,25.0,23.7,100.8,0.018982878,80,1.132,76.2,8,20,4,1096,789,619,730,170
1,5,11,29.1,25.6,24.1,100.8,0.019441571,76,1.127,78.7,10,30,4,1265,911,715,753,196
1,5,12,30.4,26.4,24.7,100.9,0.020253098,73,1.122,82.2,8,20,4,1365,983,771,774,212
1,5,13,31.6,27.0,25.2,100.9,0.020812733,70,1.116,84.8,7,50,4,1388,1000,784,851,215
1,5,14,32.3,27.3,25.4,100.8,0.021083853,68,1.112,86.3,7,50,3,1334,1014,836,818,178
1,5,15,30.9,26.5,24.7,100.8,0.020240004,71,1.119,82.6,8,20,4,1205,868,681,750,187
1,5,16,30.4,26.1,24.3,100.7,0.019773136,71,1.120,80.9,8,30,5,1011,693,507,639,186
1,5,17,29.5,26.0,24.5,100.8,0.019958764,76,1.124,80.5,8,10,6,765,490,316,770,173
1,5,18,28.5,25.2,23.7,100.8,0.019020319,77,1.130,77.0,2,90,5,483,331,242,508,89
1,5,19,28.5,25.3,23.8,100.8,0.01918802,78,1.129,77.5,5,360,6,185,119,77,6,42
1,5,20,26.0,24.0,22.9,100.9,0.018097496,85,1.142,72.1,3,60,9,2,1,0,1,1
1,5,21,25.4,23.3,22.2,100.9,0.017252445,84,1.146,69.3,2,30,8,0,0,0,0,0
