Localização,Latitude {N+/S-},Longitude {E+/W-},Zona Horaria {+/- GMT},Elevação {m},,,,,,,,,,,,,,
Belém,-1.38,-48.48,-3,16,,,,,,,,,,,,,,

Mês,Dia,Hora,TBS {C},TBU {C},T. Pto Orvalho {C},Pressao Atmosferica {kPa},Umidade {kg/kg},U. R. {%},Densidade do ar {kg/m3},Entalpia {BTU/LB},Velocidade do Vento {m/s},Direção do Vento {graus},Cobertura Total de Nuvens {decimas},Rad Horizontal Extraterreste {Wh/m2},Rad Global Horizontal {Wh/m2},Rad Direta {Wh/m2},Rad Direta Normal {Wh/m2},Rad Difusa Horizontal {Wh/m2}
1,6,2,23.4,23.0,22.5,101,0.0176,97,1.154016887,68.2,0,0,0,0,0,0,0,0
1,6,3,23.0,22.5,22.0,101,0.0170,96,1.156638344,66.3,0,0,0,0,0,0,0,0
1,6,4,22.7,22.4,22.0,100.9,0.0170,97,1.156675064,66.0,0,0,0,0,0,0,0,0
1,6,5,22.8,22.4,21.9,100.9,0.0170,97,1.156360413,66.0,0,0,0,0,0,0,0,0
1,6,6,22.4,22.1,21.7,100.9,0.0167,97,1.158426733,64.9,0,0,0,0,0,0,0,0
1,6,7,22.6,22.3,21.9,100.9,0.0169,97,1.157259583,65.6,0,0,0,72,62,52,125,10
1,6,8,22.8,22.5,22.1,101,0.0171,97,1.157267476,66.3,0,0,0,382,329,275,502,54
1,6,9,25.0,23.6,22.7,101,0.0179,89,1.14736972,70.5,0,0,0,686,590,492,697,97
1,6,10,27.3,24.8,23.6,101.1,0.0188,82,1.138052961,75.3,2,90,4,942,772,645,760,127
1,6,11,29.1,25.5,23.9,101.2,0.0192,75,1.131715534,78.1,5,90,6,1132,838,677,713,161
1,6,12,30.2,25.3,23.2,101.1,0.0184,68,1.127869257,77.2,3,90,6,1245,921,744,747,177
1,6,13,31.3,25.2,22.7,101.1,0.0178,61,1.124901473,76.8,2,90,6,1272,941,760,770,181
1,6,14,31.6,25.3,22.7,101,0.0178,61,1.122574976,77.2,2,90,6,1212,897,724,787,172
1,6,15,33.2,25.7,22.7,100.9,0.0179,55,1.115567792,78.9,0,0,8,1068,662,400,497,262
1,6,16,34.5,25.7,22.2,100.8,0.0173,50,1.110664287,78.9,3,140,8,850,527,318,487,209
1,6,17,34.9,26.0,22.5,100.7,0.0177,50,1.1074865,80.3,3,90,6,573,424,343,690,82
1,6,18,32.2,26.0,23.5,100.7,0.0188,62,1.115296613,80.4,5,340,4,257,211,176,222,35
1,6,19,29.1,25.9,24.5,100.7,0.0200,78,1.124737755,80.1,5,350,4,12,10,8,22,2
1,6,20,28.7,25.5,24.1,100.8,0.0194,78,1.128289258,78.3,3,180,5,0,0,0,0,0
1,6,21,27.3,25.8,25.0,100.8,0.0205,89,1.131595895,79.7,3,40,8,0,0,0,0,0
1,6,22,27.0,25.5,24.6,101,0.0201,89,1.135730927,78.3,2,60,6,0,0,0,0,0
1,6,23,26.1,25.0,24.3,101.1,0.0196,92,1.141124112,76.1,3,90,8,0,0,0,0,0
1,6,24,25.3,24.1,23.3,101.1,0.0185,91,1.146196041,72.4,3,90,5,0,0,0,0,0
1,7,1,25.0,24.5,24.0,101.1,0.0193,96,1.14596886,74.1,0,0,0,0,0,0,0,0
1,7,2,24.5,24.0,23.5,101.1,0.0187,96,1.148956175,72.1,0,0,0,0,0,0,0,0
1,7,3,23.7,23.0,22.4,101,0.0175,94,1.153078635,68.2,0,0,0,0,0,0,0,0
1,7,4,23.5,22.8,22.2,100.9,0.0173,94,1.153078056,67.5,0,0,0,0,0,0,0,0
1,7,5,23.4,22.8,22.2,100.9,0.0173,95,1.153390876,67.5,2,90,0,0,0,0,0,0
1,7,6,23.3,22.7,22.1,100.9,0.0172,95,1.15397706,67.1,0,0,0,0,0,0,0,0
1,7,7,23.2,22.7,22.2,100.9,0.0173,96,1.15429039,67.1,0,0,3,71,60,50,120,10
1,7,8,23.4,22.9,22.4,101,0.0175,96,1.154292111,67.8,0,0,3,380,321,268,492,53
1,7,9,25.8,24.2,23.3,101.1,0.0185,88,1.144370473,72.8,2,90,3,684,578,483,684,95
1,7,10,28.2,25.1,23.7,101.2,0.0189,78,1.13560832,76.4,2,120,3,941,795,664,783,131
1,7,11,29.3,25.3,23.6,101.2,0.0188,73,1.131709887,77.2,3,90,6,1132,838,677,713,161
1,7,12,30.6,25.7,23.7,101.1,0.0189,68,1.125494242,78.9,4,90,8,1246,772,467,468,306
1,7,13,32.2,25.6,22.9,101.1,0.0181,59,1.121073957,78.4,2,120,5,1273,1000,834,845,165
1,7,14,32.7,26.3,23.8,101,0.0191,61,1.116366409,81.6,5,140,4,1213,995,831,902,164
1,7,15,33.4,25.9,22.9,100.9,0.0181,55,1.11439195,79.8,0,0,8,1070,663,401,498,263
1,7,16,33.2,25.8,22.9,100.7,0.0181,56,1.112985041,79.5,0,0,8,852,528,319,489,209
1,7,17,32.6,25.2,22.2,100.7,0.0173,55,1.11649594,76.9,2,50,6,576,426,344,695,82
1,7,18,31.3,25.2,22.7,100.7,0.0179,61,1.12030523,77.0,2,30,6,260,192,155,231,37
1,7,19,28.6,25.3,23.8,100.7,0.0192,77,1.128025745,77.5,4,60,5,13,10,8,22,2
1,7,20,26.1,24.7,23.9,100.8,0.0192,89,1.138508208,75.0,0,0,8,0,0,0,0,0
1,7,21,25.5,24.5,23.8,100.9,0.0191,92,1.142093112,74.2,0,0,8,0,0,0,0,0
1,7,22,24.5,23.9,23.3,100.9,0.0186,95,1.146899006,71.8,0,0,10,0,0,0,0,0
1,7,23,24.5,24.0,23.5,101,0.0187,96,1.14778518,72.1,0,0,10,0,0,0,0,0
1,7,24,24.1,23.6,23.1,101.1,0.0182,96,1.151333414,70.5,0,0,10,0,0,0,0,0
1,8,1,24.0,23.6,23.1,101,0.0183,97,1.150472006,70.5,0,0,4,0,0,0,0,0
1,8,2,23.8,23.4,22.9,101,0.0181,97,1.151656322,69.8,0,0,4,0,0,0,0,0
1,8,3,23.7,23.2,22.7,100.9,0.0178,96,1.151351426,69.0,0,0,6,0,0,0,0,0
1,8,4,23.5,23.0,22.5,100.9,0.0176,96,1.152528985,68.2,0,0,6,0,0,0,0,0
1,8,5,23.3,22.8,22.3,100.9,0.0174,96,1.153703907,67.5,0,0,6,0,0,0,0,0
1,8,6,23.2,22.7,22.2,100.9,0.0173,96,1.15429039,67.1,0,0,6,0,0,0,0,0
1,8,7,23.0,22.5,22.0,100.9,0.0170,96,1.155461419,66.3,0,0,6,69,51,41,100,10
1,8,8,24.3,23.8,23.3,100.8,0.0185,96,1.14663083,71.4,0,0,9,379,206,90,166,116
1,8,9,26.0,24.4,23.5,101,0.0187,88,1.142015431,73.7,0,0,9,683,372,163,231,209
1,8,10,28.5,25.4,24.0,101.1,0.0193,78,1.132658488,77.7,3,60,9,940,512,224,265,288
1,8,11,29.2,25.5,23.9,101.1,0.0192,75,1.130260619,78.1,4,90,9,1132,617,270,285,347
1,8,12,30.7,26.1,24.2,101.1,0.0196,70,1.123993388,80.7,3,90,8,1246,773,467,468,306
1,8,13,30.7,25.7,23.6,101,0.0189,67,1.124047472,79.0,2,90,9,1274,695,304,308,390
1,8,14,32.3,26.4,24.1,101,0.0194,63,1.117228995,82.0,4,90,8,1215,753,455,494,298
1,8,15,30.6,27.2,25.8,100.9,0.0216,77,1.118578565,85.8,5,340,8,1072,665,401,499,263
1,8,16,33.4,26.8,24.3,100.8,0.0197,60,1.110516794,83.9,4,330,9,855,466,204,313,262
1,8,17,30.0,26.0,24.3,100.7,0.0198,73,1.121762649,80.5,4,360,9,579,315,138,280,177
