Localização,Latitude {N+/S-},Longitude {E+/W-},Zona Horaria {+/- GMT},Elevação {m},,,,,,,,,,,,,,
Curitiba,-25.52,-49.18,-3,910,,,,,,,,,,,,,,

Mês,Dia,Hora,TBS {C},TBU {C},T. Pto Orvalho {C},Pressao Atmosferica {kPa},Umidade {kg/kg},U. R. {%},Densidade do ar {kg/m3},Entalpia {BTU/LB},Velocidade do Vento {m/s},Direção do Vento {graus},Cobertura Total de Nuvens {decimas},Rad Horizontal Extraterreste {Wh/m2},Rad Global Horizontal {Wh/m2},Rad Direta {Wh/m2},Rad Direta Normal {Wh/m2},Rad Difusa Horizontal {Wh/m2}
1,8,23,21.1,20.0,19.2,90.8,0.015966911,91,1.048284465,61.6,3,20,5,0,0,0,0,0
1,8,24,20.9,19.5,18.6,90.8,0.015327339,88,1.050050207,59.8,2,360,5,0,0,0,0,0
1,9,1,20.4,19.8,19.2,90.8,0.01596897,95,1.050780815,60.9,3,350,5,0,0,0,0,0
1,9,2,20.0,19.4,18.8,90.9,0.015543195,95,1.054076938,59.4,3,330,5,0,0,0,0,0
1,9,3,19.9,18.5,17.6,90.9,0.01432617,88,1.056453428,56.2,3,320,5,0,0,0,0,0
1,9,4,19.3,18.3,17.6,90.8,0.014319644,91,1.057467128,55.6,0,0,5,0,0,0,0,0
1,9,5,19.2,18.3,17.6,90.7,0.014377984,92,1.056566957,55.7,0,0,5,0,0,0,0,0
1,9,6,19.0,18.5,18.0,90.7,0.014735468,96,1.056696633,56.4,0,0,5,27,18,13,28,5
1,9,7,19.3,18.3,17.6,90.9,0.01430306,91,1.058659332,55.6,3,300,6,279,179,116,282,63
1,9,8,20.2,18.9,18.0,90.9,0.014754416,89,1.054663203,57.6,2,300,6,579,370,239,212,131
1,9,9,20.0,19.0,18.3,90.9,0.014977799,91,1.055012609,58.0,2,300,8,854,444,170,241,274
1,9,10,20.7,19.0,18.0,90.8,0.014702769,86,1.051795687,58.0,2,300,8,1087,565,217,256,348
1,9,11,23.0,20.0,18.4,90.9,0.015153396,77,1.044037503,61.5,3,270,8,1261,655,251,265,404
1,9,12,25.0,20.0,17.6,90.9,0.014318966,65,1.038394036,61.5,5,290,8,1364,709,272,273,437
1,9,13,27.0,21.0,18.3,90.9,0.014969119,60,1.030421992,65.2,4,280,8,1390,723,277,281,446
1,9,14,27.5,22.0,19.6,90.9,0.016307773,63,1.026550827,69.1,5,260,8,1337,695,266,151,429
1,9,15,28.8,22.0,19.1,90.8,0.015784976,57,1.021843681,69.1,5,270,9,1208,538,126,58,412
1,9,16,27.0,21.7,19.3,90.7,0.016086965,64,1.026353551,68.0,5,10,10,1013,365,39,60,326
1,9,17,26.0,21.8,19.9,90.7,0.016662723,70,1.028856047,68.5,9,20,10,763,275,29,60,245
1,9,18,20.3,19.7,19.1,90.7,0.015884324,95,1.050120589,60.6,3,350,10,478,172,18,48,154
1,9,19,23.4,21.3,20.2,90.6,0.016994858,84,1.036193343,66.6,4,300,10,175,63,7,16,56
1,9,20,20.8,18.3,16.9,90.7,0.013711223,80,1.051918149,55.6,3,240,10,1,0,0,0,0
1,9,21,21.0,18.0,16.3,90.7,0.013222286,76,1.052012086,54.6,0,0,10,0,0,0,0,0
1,9,22,20.3,19.0,18.1,90.7,0.014887213,89,1.051764742,58.1,0,0,10,0,0,0,0,0
1,9,23,20.3,19.3,18.6,90.8,0.015293145,92,1.052253642,59.1,0,0,10,0,0,0,0,0
1,9,24,20.0,19.5,19.0,90.9,0.01568606,96,1.053840774,59.8,6,270,10,0,0,0,0,0
1,10,1,18.7,18.3,17.8,90.8,0.014570039,96,1.059224292,55.6,0,0,10,0,0,0,0,0
